number,name,status
PEP,PEP Purpose and Guidelines,Active
Feature,Feature Requests,Withdrawn
Python,Python 1.6 Release Schedule,Final
The,The Zen of Python,Active
Python,Python 2.0 Release Schedule,Final
Python,Python Unicode Integration,Final
Collecting,Collecting information about git,Withdrawn
Doing,Doing Python Micro Releases,Superseded
Doing,Doing Python Releases 101,Active
Lockstep,Lockstep Iteration,Final
Sample,Sample Plaintext PEP Template,Withdrawn
CPython,CPython platform support,Active
Sample,Sample reStructuredText PEP Template,Active
Style,Style Guide for Python Code,Active
Voting,Voting Guidelines,Active
Python,Python Language Governance,Active
Syntactic,Syntactic Macros,Draft
Require,Require virtual environments by default for package installers,Withdrawn
Isolating,Isolating modules in the standard library,Accepted
Improving,Improving License Clarity with Better Package Metadata,Draft
Procedure,Procedure for Backwards-Incompatible Changes,Final
Things,Things that will Not Change in Python 3000,Final
Miscellaneous,Miscellaneous Python 3.0 Plans,Final
Labeled,Labeled break and continue,Rejected
Keyword-Only,Keyword-Only Arguments,Final
Advanced,Advanced String Formatting,Final
Python,Python Language Moratorium,Final
Metaclasses,Metaclasses in Python 3000,Final
2021,2021 Term Steering Council election,Final
January,January 2019 Steering Council election,Final
2020,2020 Term Steering Council election,Final
The,The Steering Council Model,Accepted
2023,2023 Term Steering Council election,Active
2022,2022 Term Steering Council election,Final
The,The External Council Governance Model,Rejected
The,The Commons Governance Model,Rejected
The,The Community Governance Model,Rejected
Organization,Organization of the Python community,Rejected
Python,Python Governance Model Lead by Trio of Pythonistas,Rejected
Python,Python Language Governance Proposal Overview,Final
Python,Python Governance Voting Process,Final
Python,Python Web Server Gateway Interface v1.0.1,Final
The,The Technical Leader Governance Model,Rejected
Open,Open Source Governance Survey,Final
Qualified,Qualified name for classes and functions,Final
Asynchronous,Asynchronous IO Support Rebooted: the “asyncio” Module,Final
Pickle,Pickle protocol version 4,Final
Asynchronous,Asynchronous IO support,Superseded
Cofunctions,Cofunctions,Rejected
futures,futures - execute computations asynchronously,Final
Reworking,Reworking the OS and IO exception hierarchy,Final
PYC,PYC Repository Directories,Final
Statement,Statement local namespaces (aka “given” clause),Deferred
ABI,ABI version tagged .so files,Final
Asynchronous,Asynchronous I/O For subprocess.Popen,Withdrawn
A,A Type Hierarchy for Numbers,Final
Merging,Merging Unladen Swallow into CPython,Withdrawn
Add,Add a “while” clause to generator expressions,Rejected
Standard,Standard daemon process library,Deferred
IP,IP Address Manipulation Library for the Python Standard Library,Final
String,String representation in Python 3000,Final
Cleaning,Cleaning out sys and the “interpreter” module,Rejected
str(container),"str(container) should call str(item), not repr(item)",Rejected
Immutable,Immutable Bytes and Mutable Buffer,Final
New,New Super,Final
Exception,Exception Chaining and Embedded Tracebacks,Final
Supporting,Supporting Non-ASCII Identifiers,Final
Class,Class Decorators,Final
Access,Access to Current Module/Class/Function,Rejected
Introducing,Introducing Roles,Rejected
